city,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h,other
山南地区,40,5,21,0.45,6,65,79,4,其他城市
汕头,63,26,55,0.62,12,157,114,11,其他城市
汕尾,65,24,53,0.63,8,150,116,8,其他城市
韶关,55,28,57,0.68,11,95,72,11,其他城市
绍兴,66,27,80,0.59,22,74,41,7,其他城市
邵阳,30,6,12,0.68,9,64,59,6,其他城市
沈阳,42,17,41,0.87,24,96,42,22,其他城市
深圳,46,28,45,0.57,18,95,60,7,其他城市
石河子,38,21,37,0.6,13,64,30,13,其他城市
石家庄,144,110,150,1.95,37,122,48,35,其他城市
十堰,52,25,51,0.78,26,39,33,8,其他城市
石嘴山,49,9,48,0.2,8,90,78,6,其他城市
寿光,59,29,66,0.6,13,124,55,13,其他城市
双鸭山,30,13,29,0.43,7,75,34,4,其他城市
朔州,49,25,48,0.82,17,83,67,12,其他城市
四平,24,5,14,0.3,6,76,40,2,其他城市
松原,45,10,44,0.4,2,83,54,1,其他城市
绥化,30,21,0,0.4,5,75,41,4,其他城市
遂宁,21,3,6,0.4,10,39,41,6,其他城市
随州,36,14,21,0.5,5,112,68,5,其他城市
宿迁,40,16,33,0.63,12,127,74,8,其他城市
苏州,37,11,28,0.27,14,115,62,4,其他城市
宿州,46,19,42,0.4,13,135,91,11,其他城市
塔城地区,35,4,32,0.3,12,0,68,4,其他城市
泰安,65,32,77,0.57,17,128,78,15,其他城市
太仓,42,14,25,0.35,7,117,83,7,其他城市
太原,104,77,136,1.44,40,67,23,23,其他城市
台州,37,15,32,0.2,6,96,73,4,其他城市
泰州,42,16,31,0.55,7,114,83,5,其他城市
唐山,62,41,71,0.83,45,89,42,23,其他城市
天津,53,29,54,1.01,33,96,53,22,其他城市
天水,25,15,17,0.75,33,41,48,8,其他城市
铁岭,31,7,30,0.55,18,72,27,5,其他城市
铜川,44,21,43,1.03,34,51,51,12,其他城市
通化,56,24,60,0.4,13,74,22,7,其他城市
通辽,33,11,18,0.2,7,104,56,5,其他城市
铜陵,32,11,31,0.36,10,99,53,10,其他城市
铜仁地区,32,10,18,0.4,10,69,62,2,其他城市
吐鲁番地区,67,20,82,0.65,15,54,31,10,其他城市
瓦房店,27,13,18,0.25,9,84,52,4,其他城市
潍坊,54,25,55,0.62,13,135,64,12,其他城市
威海,49,16,26,0.4,4,113,96,4,其他城市
渭南,58,34,64,0.7,33,36,28,5,其他城市
文登,36,9,18,0.65,9,112,61,4,其他城市
文山州,21,12,10,0.6,7,64,36,4,其他城市
温州,35,15,34,0.33,9,84,64,5,其他城市
乌海,57,18,62,0.33,6,73,68,5,其他城市
武汉,52,28,51,1.11,35,88,55,14,其他城市
芜湖,39,13,25,0.55,10,122,71,6,其他城市
吴江,43,13,37,0.4,15,136,77,7,其他城市
五家渠,26,16,25,1.0,22,46,14,16,其他城市
乌兰察布,40,14,19,0.4,18,78,79,13,其他城市
乌鲁木齐,39,22,38,0.67,28,42,20,7,其他城市
武威,60,18,67,0.25,6,91,71,6,其他城市
无锡,37,13,36,0.6,14,115,64,8,其他城市
吴忠,55,14,57,0.13,4,88,64,4,其他城市
梧州,46,18,45,0.85,12,61,33,7,其他城市
厦门,42,10,28,0.43,11,109,82,4,其他城市
西安,59,34,65,1.12,35,23,15,8,其他城市
湘潭,29,19,28,0.57,16,69,51,6,其他城市
湘西州,19,11,18,0.8,18,33,26,3,其他城市
襄阳,75,54,66,0.93,25,62,29,12,其他城市
咸宁,31,21,30,0.63,9,90,38,8,其他城市
咸阳,63,44,66,1.16,39,27,20,7,其他城市
孝感,41,16,40,0.45,6,97,65,8,其他城市
锡林郭勒盟,51,18,35,0.5,3,120,100,12,其他城市
兴安盟,33,13,27,0.27,3,104,44,4,其他城市
邢台,77,56,81,1.02,23,160,58,26,其他城市
西宁,36,16,35,0.63,18,74,62,11,其他城市
新乡,78,57,82,0.8,22,151,51,14,其他城市
信阳,43,20,34,0.28,10,128,84,6,其他城市
新余,47,22,46,0.68,15,77,61,15,其他城市
忻州,86,63,100,1.1,26,85,26,19,其他城市
西双版纳州,25,6,24,0.45,5,63,23,7,其他城市
宣城,40,21,39,0.57,12,101,68,7,其他城市
许昌,62,34,72,1.0,24,142,53,13,其他城市
徐州,45,22,44,0.59,17,132,61,11,其他城市
雅安,30,13,21,0.55,12,67,59,8,其他城市
延安,27,18,26,1.0,27,51,39,10,其他城市
延边州,24,6,15,0.4,12,74,31,3,其他城市
盐城,42,16,30,0.6,9,101,82,7,其他城市
阳江,56,29,60,0.77,11,149,80,9,其他城市
阳泉,69,49,56,1.23,36,50,22,23,其他城市
扬州,39,14,33,0.44,8,103,77,5,其他城市
烟台,35,8,14,0.18,6,111,61,3,其他城市
宜宾,32,22,31,0.88,31,35,25,9,其他城市
宜昌,44,21,43,0.7,15,88,48,8,其他城市
宜春,46,18,45,0.62,20,73,39,18,其他城市
伊春,24,7,19,0.2,4,74,28,4,其他城市
伊犁哈萨克,0,0,0,0.0,0,0,0,0,其他城市
伊犁哈萨克州,39,15,38,0.9,15,67,36,9,其他城市
银川,45,26,44,0.43,12,80,62,18,其他城市
营口,43,18,36,0.63,18,134,61,12,其他城市
鹰潭,44,21,41,0.32,10,138,78,13,其他城市
义乌,44,24,43,0.6,40,42,41,4,其他城市
宜兴,43,27,42,1.0,19,132,54,14,其他城市
益阳,49,31,48,1.36,18,47,33,3,其他城市
永州,30,11,21,0.27,10,66,58,2,其他城市
岳阳,53,35,53,0.92,16,63,33,9,其他城市
玉林,60,31,67,0.73,9,110,68,15,其他城市
榆林,30,6,24,0.63,15,81,58,4,其他城市
运城,46,22,42,0.62,7,105,91,3,其他城市
云浮,56,36,60,0.67,18,94,36,11,其他城市
玉树州,31,4,12,0.5,4,87,61,9,其他城市
玉溪,29,14,27,1.07,13,90,31,9,其他城市
枣庄,48,16,47,0.3,16,139,82,6,其他城市
张家港,40,8,39,0.3,12,115,67,4,其他城市
张家界,31,18,30,0.73,15,79,50,6,其他城市
张家口,65,44,78,0.7,21,110,63,13,其他城市
章丘,53,26,54,0.5,10,136,92,17,其他城市
张掖,45,10,26,0.25,2,99,88,5,其他城市
漳州,48,21,47,0.45,9,128,70,5,其他城市
湛江,38,12,28,0.48,5,91,74,5,其他城市
肇庆,56,39,57,0.73,20,80,46,10,其他城市
昭通,26,6,15,0.8,16,54,51,13,其他城市
招远,45,17,31,0.65,9,140,70,12,其他城市
郑州,67,41,82,1.02,35,131,44,14,其他城市
镇江,44,17,30,0.5,10,124,86,10,其他城市
中山,77,56,68,0.9,26,123,79,4,其他城市
中卫,58,14,63,0.5,6,91,89,8,其他城市
周口,50,14,46,0.6,13,156,81,11,其他城市
舟山,39,9,20,0.6,4,85,77,4,其他城市
珠海,42,26,41,0.6,12,116,83,4,其他城市
诸暨,30,21,28,1.25,24,56,44,6,其他城市
驻马店,49,32,48,0.3,13,143,79,5,其他城市
株洲,29,20,27,0.36,20,55,45,8,其他城市
淄博,42,17,33,0.5,11,133,69,7,其他城市
自贡,27,17,26,0.6,12,32,34,12,其他城市
资阳,23,12,20,0.5,9,54,45,4,其他城市
遵义,33,5,13,0.4,14,61,64,5,其他城市
